src_ip,dst_ip
10.12.80.87,10.12.91.77
10.12.80.87,10.12.91.45
10.12.80.87,10.12.91.45
10.12.80.87,10.12.80.136
10.12.80.87,10.12.80.136
10.12.80.87,10.12.80.90
10.12.80.87,10.12.80.90
10.12.80.87,10.12.81.29
10.12.80.87,10.12.1.225
10.12.80.87,10.12.91.57
10.12.80.87,10.12.81.18
10.12.80.87,10.12.81.18
10.12.60.91,10.12.1.40
10.12.60.91,10.12.1.37
10.12.60.91,10.12.60.71
10.12.60.91,10.12.60.71
10.12.60.91,10.12.60.71
10.12.60.91,10.12.60.51
10.12.60.91,10.12.60.51
10.14.72.87,10.12.1.194
10.14.72.87,10.12.1.194
10.14.72.87,10.12.1.194
10.14.72.87,10.12.1.25
10.12.44.171,10.12.1.37
10.12.44.171,10.12.1.100
10.12.44.171,10.12.1.100
10.12.90.59,10.12.1.37
10.12.44.122,10.12.1.37
10.12.87.39,10.12.1.37
10.13.45.137,10.12.1.100
10.12.87.69,10.12.1.2
10.12.87.69,10.12.1.225
10.12.90.58,10.12.1.37
10.12.52.29,10.12.52.39
10.12.36.43,10.12.1.37
10.12.36.34,10.12.92.12
10.12.36.34,10.12.1.37
10.12.36.34,10.12.8.5
10.12.45.149,10.12.1.194
10.12.45.149,10.12.1.194
10.12.45.149,10.12.1.100
10.12.45.149,10.12.1.100
10.12.45.149,10.12.1.230
10.12.45.149,10.12.1.2
10.12.48.33,10.12.1.2
10.12.48.33,10.12.1.2
10.12.48.33,10.12.1.37
10.12.88.67,10.12.1.37
10.12.87.50,10.12.1.37
10.12.88.39,10.12.1.40
10.12.88.39,10.12.1.40
10.12.88.39,10.12.1.37
10.12.44.158,10.12.1.37
10.12.88.182,10.12.1.225
10.12.88.182,10.12.1.37
10.12.41.49,10.12.1.37
10.12.41.49,10.12.1.225
10.12.41.49,10.12.1.225
10.12.60.51,10.12.1.37
10.12.60.51,10.12.1.2
10.12.1.9,10.12.1.8
10.12.52.33,10.12.1.37
10.12.52.33,10.12.1.2
10.12.44.224,10.12.1.207
10.12.44.224,10.12.1.207
10.12.44.224,10.12.1.37
10.12.87.70,10.12.1.67
10.12.87.70,10.12.1.37
10.12.28.29,10.12.28.31
10.12.44.161,10.12.1.37
10.12.44.161,10.12.1.37
10.12.44.161,10.12.1.2
10.12.41.46,10.12.1.37
10.12.44.154,10.12.1.37
10.12.44.154,10.12.1.100
10.12.48.40,10.12.1.37
10.12.48.40,10.12.1.37
10.12.48.40,10.12.1.2
10.12.48.40,10.12.1.100
10.12.41.205,10.12.1.37
10.12.60.57,10.12.1.37
10.12.60.57,10.12.1.67
10.12.48.44,10.12.1.37
10.12.48.44,10.12.1.2
10.12.49.3,10.12.1.2
10.12.107.93,10.12.1.37
10.12.88.174,10.12.1.2
10.12.88.174,10.12.1.37
10.12.107.51,10.12.1.37
10.12.107.51,10.12.1.28
10.12.60.29,10.12.60.83
10.12.60.29,10.12.60.50
10.12.88.194,10.12.1.37
10.12.88.179,10.12.1.2
10.12.88.77,10.12.1.2
10.12.88.77,10.12.1.37
10.12.60.34,10.12.1.205
10.12.60.34,10.12.1.37
10.12.36.233,10.12.1.37
10.12.88.43,10.12.1.37
10.12.8.45,10.12.1.37
10.12.8.45,10.12.1.2
10.12.84.54,10.12.1.2
10.12.80.70,10.1.1.225
10.12.44.110,10.12.1.2
10.12.44.110,10.12.1.37
10.12.88.185,10.12.1.37
10.12.28.31,10.12.1.37
10.12.28.31,10.12.1.2
10.12.20.54,10.12.1.225
10.12.20.54,10.12.1.37
10.12.20.54,10.12.1.67
10.12.60.102,10.12.1.225
10.12.60.102,10.12.1.37
10.12.10.44,10.12.1.2
10.12.10.44,10.12.1.37
