src_IP,des_IP,count_re
10.12.80.0/24,58.251.100.0/24,15
10.12.80.0/24,61.151.183.0/24,21
10.12.80.0/24,61.151.224.0/24,24
10.12.81.0/24,10.12.1.0/24,140494
10.12.81.0/24,10.12.80.0/24,13393
10.12.84.0/24,10.12.1.0/24,1893603
10.12.84.0/24,10.12.11.0/24,14378
10.12.84.0/24,10.12.2.0/24,11
10.12.84.0/24,10.12.68.0/24,10195
10.12.84.0/24,10.12.80.0/24,2691
10.12.84.0/24,10.12.84.0/24,103795
10.12.84.0/24,10.33.3.0/24,55
10.12.85.0/24,10.12.1.0/24,15612
10.12.86.0/24,10.12.1.0/24,2005176
10.12.86.0/24,10.12.200.0/24,37
10.12.86.0/24,10.12.45.0/24,1
10.12.86.0/24,10.12.80.0/24,13
10.12.87.0/24,10.1.100.0/24,1580
10.12.87.0/24,10.12.1.0/24,3727500
10.12.87.0/24,10.12.80.0/24,488
10.12.87.0/24,10.33.3.0/24,5
10.12.87.0/24,172.16.1.0/24,3990
10.12.87.0/24,192.168.72.0/24,5
10.12.88.0/24,10.1.100.0/24,4470
10.12.88.0/24,10.12.1.0/24,15284486
10.12.88.0/24,10.12.80.0/24,56
10.12.88.0/24,10.13.14.0/24,55
10.12.88.0/24,10.33.3.0/24,20
10.12.88.0/24,192.168.128.0/24,875
10.12.90.0/24,10.12.1.0/24,4537794
10.12.90.0/24,10.12.80.0/24,101247
10.12.90.0/24,10.33.3.0/24,60
10.12.90.0/24,192.168.1.0/24,60
10.12.91.0/24,10.12.1.0/24,254868
10.12.91.0/24,10.12.80.0/24,32831
10.12.92.0/24,10.12.1.0/24,254790
10.12.92.0/24,10.12.36.0/24,121379
10.12.92.0/24,10.12.80.0/24,202184
10.12.92.0/24,192.168.1.0/24,1890
10.13.1.0/24,10.12.1.0/24,1023
10.13.10.0/24,10.12.1.0/24,40
10.13.11.0/24,10.12.1.0/24,3370
10.13.12.0/24,10.12.1.0/24,21109
10.13.129.0/24,10.12.1.0/24,139135
10.13.13.0/24,10.12.1.0/24,14972
10.13.131.0/24,10.12.1.0/24,8782
10.13.132.0/24,10.12.1.0/24,856850
10.13.133.0/24,10.12.1.0/24,1099
10.13.134.0/24,10.12.1.0/24,280
10.13.135.0/24,10.12.1.0/24,646
10.13.136.0/24,10.12.1.0/24,952
10.13.136.0/24,10.12.80.0/24,20
10.13.137.0/24,10.12.1.0/24,6
10.13.138.0/24,10.12.1.0/24,54
10.13.14.0/24,10.12.1.0/24,113
10.13.14.0/24,10.12.88.0/24,60
10.13.140.0/24,10.12.1.0/24,1707
10.13.140.0/24,10.12.80.0/24,10
10.13.16.0/24,10.12.1.0/24,78
10.13.18.0/24,10.12.1.0/24,109
10.13.19.0/24,10.12.1.0/24,1267
10.13.2.0/24,10.12.1.0/24,8257
10.13.24.0/24,10.12.1.0/24,10404
10.13.3.0/24,10.12.1.0/24,112
10.13.32.0/24,10.12.1.0/24,1537
10.13.32.0/24,10.12.80.0/24,55
10.13.37.0/24,10.12.80.0/24,412
10.13.39.0/24,10.12.1.0/24,16855
10.13.4.0/24,10.12.1.0/24,2
10.13.40.0/24,10.12.1.0/24,98
10.13.42.0/24,10.12.1.0/24,4110
10.13.43.0/24,10.12.80.0/24,13
10.13.44.0/24,10.12.1.0/24,2075
10.13.44.0/24,10.12.80.0/24,380
10.13.45.0/24,10.12.1.0/24,679904
10.13.45.0/24,10.12.80.0/24,631
10.13.48.0/24,10.12.1.0/24,8593
10.13.5.0/24,10.12.1.0/24,269
10.13.6.0/24,10.12.1.0/24,14660
10.13.7.0/24,10.12.1.0/24,23
10.13.70.0/24,10.12.1.0/24,1038
10.13.71.0/24,10.12.1.0/24,52
10.13.71.0/24,10.12.80.0/24,12
10.13.73.0/24,10.12.1.0/24,646
10.13.73.0/24,10.12.80.0/24,6
10.13.76.0/24,10.12.1.0/24,18
10.13.77.0/24,10.12.1.0/24,25550
10.13.78.0/24,10.12.1.0/24,177989
10.13.79.0/24,10.12.1.0/24,4478
10.13.81.0/24,10.12.1.0/24,42
10.13.82.0/24,10.12.1.0/24,34
10.13.83.0/24,10.12.1.0/24,167
10.13.9.0/24,10.12.1.0/24,1529
10.13.96.0/24,10.12.1.0/24,8823
10.13.97.0/24,10.12.1.0/24,342311
10.13.97.0/24,10.12.80.0/24,80
10.14.0.0/24,10.12.1.0/24,131057
10.14.0.0/24,10.12.80.0/24,99
10.14.101.0/24,10.12.1.0/24,17929
10.14.128.0/24,10.12.1.0/24,1354
10.14.129.0/24,10.12.1.0/24,10346
10.14.129.0/24,10.12.80.0/24,91
10.14.131.0/24,10.12.1.0/24,68725
10.14.132.0/24,10.12.1.0/24,14480
10.14.32.0/24,10.12.1.0/24,184257
10.14.32.0/24,10.12.80.0/24,143
10.14.33.0/24,10.12.1.0/24,6136
10.14.33.0/24,10.12.80.0/24,239
10.14.70.0/24,10.12.1.0/24,6017
10.14.71.0/24,10.12.1.0/24,108045
10.14.71.0/24,10.12.80.0/24,78
10.14.72.0/24,10.12.1.0/24,49415
10.14.72.0/24,10.12.80.0/24,12
10.14.96.0/24,10.12.1.0/24,97365
10.14.96.0/24,10.12.80.0/24,451
10.14.97.0/24,10.12.1.0/24,7
11.4.1.0/24,10.12.80.0/24,3
169.254.109.0/24,10.12.1.0/24,2
169.254.122.0/24,10.12.1.0/24,3
169.254.163.0/24,10.12.1.0/24,1
169.254.181.0/24,10.12.1.0/24,2
169.254.194.0/24,10.12.1.0/24,7
169.254.202.0/24,10.12.1.0/24,3
169.254.231.0/24,10.12.1.0/24,2
169.254.239.0/24,10.12.1.0/24,30
169.254.68.0/24,10.12.1.0/24,1
